city,member_count,late_payments,total_payments,delinquency_rate_pct
Burleson,51,545,1740,31.3
Hurst,62,591,1898,31.1
Keller,51,533,1719,31.0
Arlington,58,514,1671,30.8
Dallas,58,617,2011,30.7
Southlake,49,482,1582,30.5
Cleburne,62,671,2209,30.4
Bedford,58,569,1874,30.4
Mansfield,54,572,1891,30.2
White Settlement,48,458,1523,30.1
North Richland Hills,62,583,1938,30.1
Weatherford,69,572,1912,29.9
Watauga,52,514,1729,29.7
Fort Worth,47,482,1621,29.7
Haltom City,50,480,1621,29.6
Grapevine,50,497,1692,29.4
Granbury,46,448,1530,29.3
Euless,53,499,1717,29.1
Denton,55,524,1885,27.8
Benbrook,46,337,1237,27.2
