month,total_payments,late_payments,delinquency_rate_pct
2022-01,797,248,31.1
2022-02,703,220,31.3
2022-03,811,242,29.8
2022-04,714,206,28.9
2022-05,822,257,31.3
2022-06,747,202,27.0
2022-07,786,227,28.9
2022-08,799,253,31.7
2022-09,753,232,30.8
2022-10,774,242,31.3
2022-11,734,238,32.4
2022-12,804,240,29.9
2023-01,819,236,28.8
2023-02,695,205,29.5
2023-03,751,225,30.0
2023-04,752,216,28.7
2023-05,778,242,31.1
2023-06,749,236,31.5
2023-07,806,267,33.1
2023-08,757,222,29.3
2023-09,771,205,26.6
2023-10,750,239,31.9
2023-11,747,220,29.5
2023-12,744,235,31.6
2024-01,774,237,30.6
2024-02,682,189,27.7
2024-03,722,207,28.7
2024-04,711,210,29.5
2024-05,771,223,28.9
2024-06,739,213,28.8
2024-07,765,231,30.2
2024-08,753,215,28.6
2024-09,775,215,27.7
2024-10,805,224,27.8
2024-11,713,212,29.7
2024-12,796,227,28.5
2025-01,784,263,33.5
2025-02,665,208,31.3
2025-03,749,228,30.4
2025-04,772,237,30.7
2025-05,754,230,30.5
2025-06,771,225,29.2
2025-07,834,254,30.5
2025-08,778,216,27.8
2025-09,756,226,29.9
2025-10,737,237,32.2
2025-11,31,6,19.4
