loan_id,member_id,loan_type,original_amount,interest_rate,term_months,origination_date,loan_status
LN-0000001,MBR-001033,Mortgage,195535.6,6.2,360,2021-04-15,Current
LN-0000002,MBR-000847,Mortgage,292041.21,6.89,240,2021-11-12,Current
LN-0000003,MBR-000847,Credit Card,1777.32,12.55,0,2023-04-27,Current
LN-0000004,MBR-000145,Auto Loan,26940.54,5.73,72,2020-06-27,Delinquent
LN-0000005,MBR-000738,Personal Loan,13576.43,16.28,24,2021-10-13,Default
LN-0000006,MBR-000560,Student Loan,37656.63,14.31,180,2020-03-04,Current
LN-0000007,MBR-000614,Student Loan,42753.49,11.43,120,2021-07-26,Delinquent
LN-0000008,MBR-000611,Personal Loan,4309.59,4.19,36,2018-08-06,Current
LN-0000009,MBR-000738,Personal Loan,9053.53,4.66,48,2019-10-16,Current
LN-0000010,MBR-001108,Student Loan,72673.5,,120,2023-07-14,Current
LN-0000011,MBR-000209,Credit Card,1946.08,4.71,0,2023-03-11,Delinquent
LN-0000012,MBR-000040,Auto Loan,53910.15,13.71,72,2022-05-13,Current
LN-0000013,MBR-000760,Student Loan,28634.53,16.84,180,2018-12-07,Delinquent
LN-0000014,MBR-000374,Personal Loan,8529.93,15.01,36,2018-09-01,Current
LN-0000015,MBR-000104,Auto Loan,14326.65,6.61,48,2021-11-22,Paid Off
LN-0000016,MBR-000696,Auto Loan,24103.61,17.36,72,2019-02-14,Delinquent
LN-0000017,MBR-001128,Auto Loan,28170.34,14.28,60,2018-04-25,Paid Off
LN-0000018,MBR-000805,Auto Loan,46619.69,6.64,60,2018-02-19,Current
LN-0000019,MBR-000259,Student Loan,70871.52,9.71,240,2021-03-10,Current
LN-0000020,MBR-000454,Student Loan,30260.81,12.42,120,2024-02-13,Current
LN-0000021,MBR-001162,Personal Loan,2096.91,9.12,12,2018-08-31,Current
LN-0000022,MBR-000040,Personal Loan,11283.36,16.75,12,2018-10-29,Current
LN-0000023,MBR-000495,Student Loan,42571.54,13.57,120,2020-06-11,Delinquent
LN-0000024,MBR-000768,credit card,797.41,9.19,0,2022-03-25,Delinquent
LN-0000025,MBR-000330,Mortgage,386523.64,3.33,180,2022-04-04,Current
LN-0000026,MBR-000941,Mortgage,147994.99,3.28,180,2024-06-03,Delinquent
LN-0000027,MBR-000196,Auto Loan,50022.04,3.96,36,2022-09-24,Default
