payment_id,loan_id,due_date,payment_date,expected_amount,actual_amount,payment_status
PMT-00000001,LN-0001635,2022-07-08,2022-07-08,5000.0,5000.0,On Time
PMT-00000002,LN-0001272,2025-06-05,,1471.17,0.0,Missed
PMT-00000003,LN-0001080,2025-06-03,2025-05-30,5000.0,5000.0,On Time
PMT-00000004,LN-0001813,2023-07-26,2023-07-26,981.5,981.5,On Time
PMT-00000005,LN-0001959,2024-06-10,2024-06-07,1154.78,1154.78,On Time
PMT-00000006,LN-0002736,2022-03-25,2022-03-23,773.44,773.44,On Time
PMT-00000007,LN-0000431,2023-11-12,2023-12-05,924.48,924.48,Late
PMT-00000008,LN-0000542,2022-12-30,2023-01-03,492.94,492.94,Late
PMT-00000009,LN-0002290,2024-03-17,2024-03-13,285.39,285.39,On Time
PMT-00000010,LN-0001739,2024-10-12,2024-10-10,477.52,477.52,On Time
PMT-00000011,LN-0001621,2024-08-24,2024-09-01,4778.15,3402.31,Partial
PMT-00000012,LN-0001018,2023-06-14,2023-07-16,52.26,52.26,Late
PMT-00000013,LN-0000560,2024-10-13,2024-10-08,573.88,573.88,On Time
PMT-00000014,LN-0000184,2022-02-22,2022-02-21,260.54,-260.54,On Time
PMT-00000015,LN-0000013,2023-05-26,2023-05-27,159.08,159.08,Late
PMT-00000016,LN-0001054,2022-07-18,2022-08-13,896.12,896.12,LATE
PMT-00000017,LN-0000101,2025-03-27,2025-03-25,559.28,559.28,On Time
PMT-00000018,LN-0001449,2022-08-22,,5000.0,0.0,Missed
PMT-00000019,LN-0002043,2024-03-22,2024-03-19,417.16,417.16,On Time
PMT-00000020,LN-0000915,2025-04-23,2025-04-23,1660.55,1660.55,On Time
PMT-00000021,LN-0000307,2024-06-08,2024-06-11,177.43,50.53,Partial
PMT-00000022,LN-0001819,2022-09-28,2022-09-23,227.66,227.66,On Time
PMT-00000023,LN-0000155,2022-12-13,2022-12-15,763.7,763.7,Late
PMT-00000024,LN-0002662,2023-09-12,,420.92,0.0,Missed
PMT-00000025,LN-0002396,2022-10-19,,862.8,0.0,Missed
PMT-00000026,LN-0001570,2025-01-12,2025-01-10,794.27,794.27,On Time
PMT-00000027,LN-0002560,2025-03-25,,532.51,0.0,Missed
PMT-00000028,LN-0001843,2023-07-17,2023-07-16,693.83,693.83,On Time
PMT-00000029,LN-0000722,2023-04-23,2023-04-22,380.72,380.72,On Time
PMT-00000030,LN-0002618,2023-09-15,2023-09-11,34.08,34.08,On Time
PMT-00000031,LN-0002743,2025-10-16,2025-10-31,588.67,588.67,Late
PMT-00000032,LN-0000152,2025-06-24,2025-07-02,966.56,229.23,Partial
PMT-00000033,LN-0001917,2025-05-19,2025-05-17,1581.23,1581.23,On Time
PMT-00000034,LN-0000893,2025-09-01,2025-09-01,2480.12,2480.12,On Time
PMT-00000035,LN-0001170,2025-04-30,2025-04-28,1221.29,1221.29,On Time
PMT-00000036,LN-0000644,2023-02-20,2023-02-20,1032.18,1032.18,On Time
PMT-00000037,LN-0000285,2022-11-23,2022-11-21,607.29,607.29,On Time
PMT-00000038,LN-0002143,2025-05-31,2025-05-26,660.94,660.94,ON TIME
PMT-00000039,LN-0001750,2023-10-12,2023-10-11,488.52,488.52,On Time
PMT-00000040,LN-0001272,2022-09-23,2022-10-20,1471.17,1471.17,Late
PMT-00000041,LN-0002362,2023-03-24,2023-03-21,1076.64,1076.64,On Time
PMT-00000042,LN-0000171,2025-07-10,2025-07-29,302.05,302.05,Late
PMT-00000043,LN-0000953,2025-03-22,2025-03-18,397.78,397.78,On Time
PMT-00000044,LN-0001040,2024-02-12,2024-02-10,108.88,86.46,Partial
PMT-00000045,LN-0001206,2025-05-28,2025-05-23,452.97,452.97,On Time
PMT-00000046,LN-0001355,2023-04-07,2023-04-06,5000.0,5000.0,On Time
PMT-00000047,LN-0000315,2023-12-07,2023-12-20,414.19,414.19,Late
PMT-00000048,LN-0002462,2022-08-02,2022-07-30,377.79,377.79,On Time
PMT-00000049,LN-0002116,2024-05-20,2024-05-19,593.54,145.67,Partial
PMT-00000050,LN-0000926,2023-05-04,2023-05-12,287.85,105.44,Partial
PMT-00000051,LN-0000611,2025-05-19,2025-05-28,503.87,325.66,Partial
PMT-00000052,LN-0000855,2023-02-13,2023-03-21,1628.05,1628.05,Late
PMT-00000053,LN-0002013,2023-09-22,2023-09-19,150.0,150.0,On Time
PMT-00000054,LN-0001264,2023-04-01,2023-03-28,646.26,646.26,On Time
PMT-00000055,LN-0001457,2025-10-10,2025-10-10,555.74,555.74,On Time
PMT-00000056,LN-0001753,2024-07-04,2024-07-01,469.1,469.1,On Time
PMT-00000057,LN-0001315,2023-01-25,2023-02-04,655.34,256.38,Partial
PMT-00000058,LN-0001608,2024-07-15,2024-07-13,356.94,356.94,On Time
PMT-00000059,LN-0001038,2024-08-24,2024-08-21,508.9,508.9,On Time
PMT-00000060,LN-0001780,2023-04-04,2023-04-01,449.29,449.29,On Time
PMT-00000061,LN-0002627,2023-07-18,2023-07-18,299.96,299.96,On Time
PMT-00000062,LN-0002673,2023-05-11,2023-05-10,5000.0,5000.0,On Time
PMT-00000063,LN-0000664,2024-07-09,2024-08-10,398.08,398.08,Late
PMT-00000064,LN-0001585,2022-05-20,2022-05-18,653.03,653.03,On Time
PMT-00000065,LN-0001045,2022-06-26,2022-06-23,455.03,455.03,On Time
PMT-00000066,LN-0000252,2025-04-19,2025-04-17,49.25,49.25,On Time
PMT-00000067,LN-0002773,2023-11-07,2023-11-18,1516.25,898.93,Partial
PMT-00000068,LN-0001022,2025-07-05,2025-08-10,507.1,507.1,Late
PMT-00000069,LN-0001346,2023-06-18,2023-06-14,651.94,651.94,On Time
PMT-00000070,LN-0000498,2023-08-03,2023-07-30,5000.0,5000.0,On Time
PMT-00000071,LN-0000027,2022-09-19,2022-09-15,1389.5,1389.5,On Time
PMT-00000072,LN-0002642,2024-06-02,2024-06-07,2545.43,785.27,Partial
PMT-00000073,LN-0001483,2024-03-06,2024-03-03,1134.03,1134.03,On Time
PMT-00000074,LN-0001059,2022-01-29,2022-01-26,634.18,634.18,On Time
PMT-00000075,LN-0002345,2023-05-21,2023-05-18,966.79,966.79,On Time
PMT-00000076,LN-0001636,2025-09-06,2025-09-02,924.23,924.23,On Time
